company_id,company_name,total_employees,engineer_count,engineering_percentage,tech_strength_score,size_category,sector,funding_stage,region,last_updated,description
synthetic_47,TechCore Labs,47,24,53.0,76.1,small,Data Analytics,Series A/B,Boston,2025-08-02,Growing database technology company with strong technical team (53.0% engineers)
synthetic_34,APISync Studio,19,11,62.1,75.5,small,Cybersecurity,Seed/Series A,Seattle,2025-08-02,Growing business intelligence company with strong technical team (62.1% engineers)
synthetic_20,DevFlow Engine,144,72,50.6,75.3,medium,Cloud Infrastructure,Series B/C,Los Angeles,2025-08-02,Growing cybersecurity company with strong technical team (50.6% engineers)
synthetic_21,APISync Logic,52,33,63.8,75.1,small,Developer Tools,Series B/C,Seattle,2025-08-02,Growing devops tools company with strong technical team (63.8% engineers)
synthetic_19,CloudBridge Logic,131,65,50.1,75.1,medium,Business Intelligence,Series B/C,Boston,2025-08-02,Growing developer tools company with strong technical team (50.1% engineers)
synthetic_17,DevBridge Intelligence,14,8,62.3,74.4,small,Business Intelligence,Seed/Series A,NYC,2025-08-02,Growing cloud infrastructure company with strong technical team (62.3% engineers)
synthetic_11,CloudFlow Works,63,37,58.8,74.2,small,AI/ML Platform,Series B/C,Los Angeles,2025-08-02,Growing business intelligence company with strong technical team (58.8% engineers)
synthetic_40,CloudMesh Data,22,12,58.9,74.2,small,AI/ML Platform,Series A/B,NYC,2025-08-02,Growing developer tools company with strong technical team (58.9% engineers)
synthetic_43,DevCore Works,145,66,45.7,72.9,medium,Monitoring,Series B/C,Chicago,2025-08-02,Growing cloud infrastructure company with strong technical team (45.7% engineers)
synthetic_45,TechFlow Platform,119,53,44.7,72.4,medium,Developer Tools,Series B/C,Los Angeles,2025-08-02,Growing data analytics company with strong technical team (44.7% engineers)
synthetic_41,APIHub Data,109,49,45.2,72.2,medium,AI/ML Platform,Series B/C,San Francisco,2025-08-02,Growing developer tools company with strong technical team (45.2% engineers)
synthetic_12,DataCore Systems,97,46,47.4,72.1,small,API Management,Series B/C,Boston,2025-08-02,Growing cloud infrastructure company with strong technical team (47.4% engineers)
synthetic_6,APIHub Networks,29,15,51.8,71.9,small,AI/ML Platform,Series A/B,Austin,2025-08-02,Growing api management company with strong technical team (51.8% engineers)
synthetic_9,TechFlow Engine,34,17,50.1,71.8,small,Enterprise Software,Series A/B,Chicago,2025-08-02,Growing data analytics company with strong technical team (50.1% engineers)
synthetic_1,CloudBridge Innovations,39,18,48.0,71.2,small,Data Analytics,Series A/B,San Francisco,2025-08-02,Growing data analytics company with strong technical team (48.0% engineers)
synthetic_38,TechFlow Analytics,94,44,47.2,71.2,small,AI/ML Platform,Series B/C,Los Angeles,2025-08-02,Growing developer tools company with strong technical team (47.2% engineers)
synthetic_13,TechBridge Labs,27,13,51.8,71.1,small,DevOps Tools,Series A/B,San Francisco,2025-08-02,Growing developer tools company with strong technical team (51.8% engineers)
synthetic_31,TechFlow Dynamics,43,19,45.6,70.4,small,Cybersecurity,Series A/B,Research Triangle,2025-08-02,Growing devops tools company with strong technical team (45.6% engineers)
synthetic_29,APICore Dynamics,129,52,40.6,70.3,medium,Cybersecurity,Series B/C,NYC,2025-08-02,Growing business intelligence company with strong technical team (40.6% engineers)
synthetic_28,DevBridge Systems,54,30,55.6,69.8,small,DevOps Tools,Series B/C,Austin,2025-08-02,Growing data analytics company with strong technical team (55.6% engineers)
synthetic_27,CloudFlow Technologies,113,45,40.0,68.0,medium,Database Technology,Series B/C,San Francisco,2025-08-02,Growing cloud infrastructure company with strong technical team (40.0% engineers)
synthetic_23,CodeBridge Studio,75,31,41.4,63.1,small,Data Analytics,Series B/C,Boston,2025-08-02,Growing database technology company with strong technical team (41.4% engineers)
synthetic_32,DevBridge Innovations,54,23,43.5,61.0,small,DevOps Tools,Series B/C,Los Angeles,2025-08-02,Growing automation company with strong technical team (43.5% engineers)
